Riga;Allikukivi;181;
Parnu;Tallinn;130;
Tallinn;Johvi;167;
Narva;Spb;158;
Riga;Valga;160;
Valga;Tartu;85.1;
Tartu;Johvi;129;
Johvi;Narva;49.8;
Tartu;Paide;96.9;
Paide;Tallinn;94.5;
Riga;Sigulda;52.6;
Sigulda;Viljandi;170;
Napi;Tartu;130;
Tartu;Viljandi;78.1;
Viljandi;Allikukivi;50;
Allikukivi;Reiu;37.3;
Reiu;Parnu;9.8;
Tartu;Luhamaa;108;
Luhamaa;Pskov;61.5;
Pskov;Luga;150;
Luga;Spb;150;
Valga;Allikukivi;94.6;
Allikukivi;Parnu;47.6;
Sigulda;Luhamaa;165;
Viljandi;Napi;154;
Maardu;Tallinn;16.5;
Maardu;Pildikula;22;
Tallinn;Pildikula;14.3;
Tallinn;Saku;17.1;
Maardu;Saku;37.5;
Tallinn;Laagri;14.6;
Laagri;Keila;15.9;
Tallinn;Keila;26.7;
Tallinn;Nommeri;42.4;
Tallinn;Valgejoe;60.8;
